Month,SIC," Employment, Ontario (000)"
10/01/2022,  Public administration,450.5
11/01/2022,"Total employed, all industries",7750.5
11/01/2022,Goods-producing sector,1558.6
11/01/2022,  Agriculture,74.7
11/01/2022,"  Forestry, fishing, mining, quarrying, oil and gas",37.6
11/01/2022,  Utilities,61.4
11/01/2022,  Construction,588.8
11/01/2022,  Manufacturing,796.1
11/01/2022,Services-producing sector,6191.8
11/01/2022,  Wholesale and retail trade,1102.5
11/01/2022,  Transportation and warehousing,372.6
11/01/2022,"  Finance, insurance, real estate, rental and leasing",694.1
11/01/2022,"  Professional, scientific and technical services",807.1
11/01/2022,"  Business, building and other support services",284.5
11/01/2022,  Educational services,563.1
11/01/2022,  Health care and social assistance,948.2
11/01/2022,"  Information, culture and recreation",299.3
11/01/2022,  Accommodation and food services,411.5
11/01/2022,  Other services (except public administration),255.4
11/01/2022,  Public administration,453.6
12/01/2022,"Total employed, all industries",7786.9
12/01/2022,Goods-producing sector,1564.2
12/01/2022,  Agriculture,80.7
12/01/2022,"  Forestry, fishing, mining, quarrying, oil and gas",38.5
12/01/2022,  Utilities,60.3
12/01/2022,  Construction,599.4
12/01/2022,  Manufacturing,785.3
12/01/2022,Services-producing sector,6222.7
12/01/2022,  Wholesale and retail trade,1094.4
12/01/2022,  Transportation and warehousing,376.6
12/01/2022,"  Finance, insurance, real estate, rental and leasing",695.8
12/01/2022,"  Professional, scientific and technical services",822.5
12/01/2022,"  Business, building and other support services",295
12/01/2022,  Educational services,552.2
12/01/2022,  Health care and social assistance,938.7
12/01/2022,"  Information, culture and recreation",314.2
12/01/2022,  Accommodation and food services,423.8
12/01/2022,  Other services (except public administration),254
12/01/2022,  Public administration,455.6
01/01/2023,"Total employed, all industries",7849.7
01/01/2023,Goods-producing sector,1579.5
01/01/2023,  Agriculture,79.6
01/01/2023,"  Forestry, fishing, mining, quarrying, oil and gas",40.3
01/01/2023,  Utilities,58.6
01/01/2023,  Construction,602
01/01/2023,  Manufacturing,799
01/01/2023,Services-producing sector,6270.2
01/01/2023,  Wholesale and retail trade,1110.4
01/01/2023,  Transportation and warehousing,372.8
01/01/2023,"  Finance, insurance, real estate, rental and leasing",682.2
01/01/2023,"  Professional, scientific and technical services",819.1
01/01/2023,"  Business, building and other support services",299.7
01/01/2023,  Educational services,557.1
01/01/2023,  Health care and social assistance,959.8
01/01/2023,"  Information, culture and recreation",327.9
01/01/2023,  Accommodation and food services,422.6
01/01/2023,  Other services (except public administration),268.6
01/01/2023,  Public administration,450
02/01/2023,"Total employed, all industries",7865.3
02/01/2023,Goods-producing sector,1576.7
02/01/2023,  Agriculture,78.5
02/01/2023,"  Forestry, fishing, mining, quarrying, oil and gas",38.6
02/01/2023,  Utilities,62.2
02/01/2023,  Construction,600
02/01/2023,  Manufacturing,797.4
02/01/2023,Services-producing sector,6288.6
02/01/2023,  Wholesale and retail trade,1136.1
02/01/2023,  Transportation and warehousing,368.2
02/01/2023,"  Finance, insurance, real estate, rental and leasing",684.4
02/01/2023,"  Professional, scientific and technical services",824.4
02/01/2023,"  Business, building and other support services",283.8
02/01/2023,  Educational services,559.3
02/01/2023,  Health care and social assistance,961.1
02/01/2023,"  Information, culture and recreation",321.1
02/01/2023,  Accommodation and food services,426
02/01/2023,  Other services (except public administration),266.6
02/01/2023,  Public administration,457.6
03/01/2023,"Total employed, all industries",7886.7
03/01/2023,Goods-producing sector,1568.1
03/01/2023,  Agriculture,80.4
03/01/2023,"  Forestry, fishing, mining, quarrying, oil and gas",40.8
03/01/2023,  Utilities,61.9
03/01/2023,  Construction,597.5
03/01/2023,  Manufacturing,787.5
03/01/2023,Services-producing sector,6318.6
03/01/2023,  Wholesale and retail trade,1127.3
03/01/2023,  Transportation and warehousing,386.9
03/01/2023,"  Finance, insurance, real estate, rental and leasing",693.9
03/01/2023,"  Professional, scientific and technical services",814.5
03/01/2023,"  Business, building and other support services",298.9
03/01/2023,  Educational services,559.7
03/01/2023,  Health care and social assistance,969.2
03/01/2023,"  Information, culture and recreation",319.4
03/01/2023,  Accommodation and food services,423
03/01/2023,  Other services (except public administration),267
03/01/2023,  Public administration,458.9
04/01/2023,"Total employed, all industries",7919.4
04/01/2023,Goods-producing sector,1574.1
04/01/2023,  Agriculture,75.2
04/01/2023,"  Forestry, fishing, mining, quarrying, oil and gas",42.2
04/01/2023,  Utilities,60.3
04/01/2023,  Construction,603.9
04/01/2023,  Manufacturing,792.5
04/01/2023,Services-producing sector,6345.4
04/01/2023,  Wholesale and retail trade,1139.4
04/01/2023,  Transportation and warehousing,406.4
04/01/2023,"  Finance, insurance, real estate, rental and leasing",692.2
04/01/2023,"  Professional, scientific and technical services",813.9
04/01/2023,"  Business, building and other support services",297.4
04/01/2023,  Educational services,566
04/01/2023,  Health care and social assistance,974.1
04/01/2023,"  Information, culture and recreation",329
04/01/2023,  Accommodation and food services,411.5
04/01/2023,  Other services (except public administration),255.8
04/01/2023,  Public administration,459.6
05/01/2023,"Total employed, all industries",7886.7
05/01/2023,Goods-producing sector,1568.1
05/01/2023,  Agriculture,80.4
05/01/2023,"  Forestry, fishing, mining, quarrying, oil and gas",40.8
05/01/2023,  Utilities,61.9
05/01/2023,  Construction,597.5
05/01/2023,  Manufacturing,787.5
05/01/2023,Services-producing sector,6318.6
05/01/2023,  Wholesale and retail trade,1127.3
05/01/2023,  Transportation and warehousing,386.9
05/01/2023,"  Finance, insurance, real estate, rental and leasing",693.9
05/01/2023,"  Professional, scientific and technical services",814.5
05/01/2023,"  Business, building and other support services",298.9
05/01/2023,  Educational services,559.7
05/01/2023,  Health care and social assistance,969.2
05/01/2023,"  Information, culture and recreation",319.4
05/01/2023,  Accommodation and food services,423
05/01/2023,  Other services (except public administration),267
05/01/2023,  Public administration,458.9
06/01/2023,"Total employed, all industries",7951.3
06/01/2023,Goods-producing sector,1602.4
06/01/2023,  Agriculture,73.5
06/01/2023,"  Forestry, fishing, mining, quarrying, oil and gas",43.7
06/01/2023,  Utilities,64.6
06/01/2023,  Construction,600.7
06/01/2023,  Manufacturing,819.9
06/01/2023,Services-producing sector,6348.8
06/01/2023,  Wholesale and retail trade,1137.5
06/01/2023,  Transportation and warehousing,397.4
06/01/2023,"  Finance, insurance, real estate, rental and leasing",693.2
06/01/2023,"  Professional, scientific and technical services",810.4
06/01/2023,"  Business, building and other support services",287.7
06/01/2023,  Educational services,561.7
06/01/2023,  Health care and social assistance,966.9
06/01/2023,"  Information, culture and recreation",338.9
06/01/2023,  Accommodation and food services,428
06/01/2023,  Other services (except public administration),266.5
06/01/2023,  Public administration,460.6
